county,urbanicity
Adams,Rural
Armstrong,Rural
Bedford,Rural
Blair,Rural
Bradford,Rural
Butler,Rural
Cambria,Rural
Cameron,Rural
Carbon,Rural
Centre,Rural
Clarion,Rural
Clearfield,Rural
Clinton,Rural
Columbia,Rural
Crawford,Rural
Elk,Rural
Fayette,Rural
Forest,Rural
Franklin,Rural
Fulton,Rural
Greene,Rural
Huntingdon,Rural
Indiana,Rural
Jefferson,Rural
Juniata,Rural
Lawrence,Rural
Lycoming,Rural
McKean,Rural
Mercer,Rural
Mifflin,Rural
Monroe,Rural
Montour,Rural
Northumberland,Rural
Perry,Rural
Pike,Rural
Potter,Rural
Schuylkill,Rural
Snyder,Rural
Somerset,Rural
Sullivan,Rural
Susquehanna,Rural
Tioga,Rural
Union,Rural
Venango,Rural
Warren,Rural
Washington,Rural
Wayne,Rural
Wyoming,Rural
Allegheny,Urban
Beaver,Urban
Berks,Urban
Bucks,Urban
Chester,Urban
Cumberland,Urban
Dauphin,Urban
Delaware,Urban
Erie,Urban
Lackawanna,Urban
Lancaster,Urban
Lebanon,Urban
Lehigh,Urban
Luzerne,Urban
Montgomery,Urban
Northampton,Urban
Philadelphia,Urban
Westmoreland,Urban
York,Urban
